Company;Job Title;Industry;Location;Employment Type;Experience Level;Remote Flexibility;Salary (Annual);Currency;Years of Experience
Microsoft;Data Analyst;Media;Austin;Part-time;Mid;Remote;155200.11;AUD;1,3
Apple;Data Scientist;Retail;San Francisco;Part-time;Lead;Remote;106365.54;INR;12,1
Amazon;Software Engineer;Healthcare;San Francisco;Full-time;Lead;Remote;91026.49;INR;9,1
Tesla;Data Analyst;Retail;Austin;Contract;Mid;Onsite;41824.38;EUR;11,6
Adobe;DevOps Engineer;Healthcare;New York;Contract;Senior;Remote;143929.78;USD;9,1
Tesla;Product Manager;Media;Chicago;Part-time;Senior;Remote;68938.17;USD;12,1
IBM;DevOps Engineer;Healthcare;New York;Internship;Lead;Onsite;108004.81;INR;2,1
Tesla;Data Scientist;Education;Austin;Part-time;Mid;Onsite;113897.69;USD;12,9
Tesla;Data Scientist;Tech;Seattle;Internship;Lead;Onsite;72740.4;AUD;12,9
Salesforce;Product Manager;Media;Austin;Full-time;Senior;Hybrid;56886.82;USD;14,3
Microsoft;DevOps Engineer;Healthcare;Boston;Part-time;Mid;Hybrid;159626.84;AUD;14,3
Google;Data Analyst;Healthcare;Boston;Contract;Mid;Remote;70948.17;AUD;14,2
Salesforce;Software Engineer;Finance;Chicago;Internship;Mid;Hybrid;119704.54;AUD;6,3
Tesla;DevOps Engineer;Media;Austin;Internship;Lead;Remote;72143.95;USD;5,1
Google;Data Analyst;Media;Chicago;Full-time;Mid;Remote;183921.4;INR;1,1
Amazon;DevOps Engineer;Retail;Remote;Internship;Mid;Hybrid;167274.49;EUR;1,4
Google;DevOps Engineer;Media;Chicago;Full-time;Entry;Hybrid;153796.31;USD;3,7
Amazon;Product Manager;Education;New York;Full-time;Lead;Onsite;46644.48;AUD;12,5
Adobe;Software Engineer;Education;San Francisco;Part-time;Lead;Remote;197502.5;INR;13,9
Salesforce;DevOps Engineer;Media;Seattle;Part-time;Mid;Hybrid;67009.15;USD;8,7
IBM;UX Designer;Retail;Boston;Part-time;Entry;Onsite;43618.95;EUR;1,0
IBM;Software Engineer;Retail;Remote;Full-time;Entry;Hybrid;141753.44;AUD;7,8
Tesla;Software Engineer;Media;Chicago;Contract;Lead;Hybrid;187933.12;USD;0,1
Apple;Data Scientist;Healthcare;New York;Contract;Entry;Remote;92819.61;EUR;6,6
Salesforce;Data Analyst;Media;Boston;Contract;Entry;Remote;74959.21;USD;11,1
Netflix;Software Engineer;Media;Chicago;Contract;Lead;Hybrid;183907.2;USD;1,4
Amazon;DevOps Engineer;Healthcare;New York;Internship;Lead;Onsite;31643.85;USD;14,2
IBM;Data Scientist;Finance;Seattle;Part-time;Entry;Hybrid;91990.76;USD;13,5
Netflix;Data Scientist;Education;Remote;Part-time;Mid;Remote;195955.03;EUR;13,2
Tesla;DevOps Engineer;Media;Boston;Part-time;Senior;Remote;163853.67;USD;5,7
Adobe;Product Manager;Healthcare;Boston;Part-time;Mid;Remote;142205.64;GBP;4,9
Tesla;DevOps Engineer;Retail;Austin;Full-time;Entry;Hybrid;60356.53;INR;0,6
Netflix;UX Designer;Retail;Remote;Full-time;Lead;Onsite;62313.39;USD;1,6
Apple;Product Manager;Education;San Francisco;Contract;Senior;Onsite;174162.6;INR;7,6
Salesforce;Software Engineer;Finance;Seattle;Internship;Mid;Onsite;126747.89;GBP;8,2
IBM;Data Scientist;Media;Austin;Internship;Lead;Hybrid;144856.63;AUD;7,1
IBM;Product Manager;Tech;Boston;Part-time;Senior;Remote;167115.69;EUR;0,4
Microsoft;UX Designer;Education;Chicago;Part-time;Lead;Hybrid;97940.99;EUR;9,8
Salesforce;UX Designer;Tech;Remote;Part-time;Entry;Hybrid;52667.65;GBP;10,0
Adobe;Data Scientist;Media;Remote;Internship;Lead;Remote;156421.43;GBP;6,8
Salesforce;UX Designer;Media;New York;Contract;Lead;Remote;151302.63;EUR;4,1
Apple;UX Designer;Media;New York;Part-time;Entry;Hybrid;99291.89;AUD;7,0
IBM;DevOps Engineer;Tech;Boston;Internship;Lead;Remote;190266.08;INR;11,3
Apple;UX Designer;Finance;Austin;Internship;Lead;Remote;96105.72;GBP;10,9
Tesla;Data Scientist;Retail;Chicago;Full-time;Entry;Onsite;102864.17;GBP;2,7
Netflix;Product Manager;Education;Austin;Internship;Senior;Remote;109952.16;AUD;0,8
Google;Data Analyst;Finance;New York;Full-time;Mid;Remote;51457.57;USD;8,5
Amazon;Data Scientist;Retail;Chicago;Full-time;Mid;Hybrid;48376.79;USD;13,9
Apple;Data Analyst;Retail;Chicago;Part-time;Entry;Onsite;161321.75;AUD;12,1
Netflix;Data Analyst;Retail;Chicago;Contract;Entry;Hybrid;169796.26;USD;6,5
Tesla;Software Engineer;Media;Remote;Contract;Lead;Hybrid;104047.66;AUD;4,0
Apple;UX Designer;Retail;Remote;Internship;Senior;Remote;114032.11;INR;2,7
IBM;DevOps Engineer;Healthcare;Remote;Full-time;Mid;Remote;71030.53;GBP;7,3
Adobe;UX Designer;Tech;San Francisco;Contract;Mid;Hybrid;147603.82;INR;10,0
Tesla;DevOps Engineer;Retail;Austin;Contract;Lead;Hybrid;82125.91;EUR;1,8
Amazon;Software Engineer;Finance;Chicago;Internship;Senior;Onsite;130229.77;AUD;9,0
Amazon;Product Manager;Tech;Chicago;Part-time;Senior;Remote;195630.14;AUD;4,4
Google;Data Scientist;Healthcare;Seattle;Internship;Lead;Hybrid;61341.82;USD;3,8
Microsoft;Data Scientist;Media;Chicago;Full-time;Mid;Remote;167894.15;INR;1,3
IBM;Data Scientist;Retail;New York;Internship;Lead;Hybrid;80550.03;AUD;14,9
Microsoft;Software Engineer;Media;New York;Contract;Entry;Remote;70777.08;AUD;1,1
Adobe;Product Manager;Tech;New York;Contract;Senior;Onsite;176133.14;USD;10,3
Apple;UX Designer;Tech;Remote;Part-time;Mid;Hybrid;170527.3;USD;0,9
Adobe;Data Analyst;Education;Chicago;Contract;Lead;Hybrid;115080.27;GBP;6,6
IBM;Product Manager;Tech;San Francisco;Part-time;Entry;Onsite;169641.61;AUD;0,6
Meta;Software Engineer;Retail;Seattle;Internship;Entry;Hybrid;89153.38;INR;4,8
Adobe;Product Manager;Media;Seattle;Full-time;Lead;Remote;83467.92;INR;1,7
Salesforce;UX Designer;Education;San Francisco;Part-time;Senior;Onsite;158595.34;GBP;11,4
Meta;UX Designer;Media;Seattle;Full-time;Entry;Onsite;133508.18;EUR;10,6
Microsoft;Software Engineer;Tech;Seattle;Full-time;Mid;Hybrid;188551.02;INR;7,6
Apple;UX Designer;Retail;New York;Internship;Mid;Onsite;116400.95;EUR;13,0
Salesforce;Product Manager;Tech;Austin;Contract;Lead;Remote;105913.06;GBP;5,2
Netflix;Software Engineer;Media;New York;Internship;Mid;Hybrid;37420.04;GBP;10,6
Google;Software Engineer;Retail;Remote;Contract;Entry;Hybrid;46950.99;GBP;0,2
Meta;Product Manager;Retail;Chicago;Internship;Entry;Hybrid;174898.03;AUD;5,7
Google;Data Scientist;Tech;New York;Contract;Mid;Onsite;45364.49;USD;11,4
Google;Data Analyst;Healthcare;Boston;Full-time;Senior;Hybrid;93722.99;EUR;3,7
Microsoft;Data Scientist;Education;Remote;Part-time;Lead;Onsite;54330.01;GBP;9,6
Adobe;Product Manager;Media;Remote;Part-time;Entry;Hybrid;190690.06;AUD;4,5
Meta;Software Engineer;Education;Boston;Internship;Entry;Remote;94831.93;INR;8,6
IBM;DevOps Engineer;Media;San Francisco;Internship;Senior;Remote;133201.05;INR;3,3
Amazon;DevOps Engineer;Tech;Chicago;Full-time;Senior;Hybrid;35671.97;INR;11,0
Amazon;Software Engineer;Finance;Boston;Contract;Senior;Remote;73684.91;GBP;14,5
Adobe;Data Analyst;Finance;Boston;Part-time;Lead;Onsite;92181.76;GBP;0,2
Meta;Data Scientist;Education;Boston;Contract;Entry;Onsite;69749.72;USD;9,3
Microsoft;DevOps Engineer;Education;Chicago;Contract;Lead;Remote;53762.09;USD;4,6
Salesforce;Software Engineer;Education;Seattle;Contract;Lead;Onsite;156185.73;EUR;13,3
Meta;Data Analyst;Media;Austin;Part-time;Lead;Hybrid;191594.38;INR;1,5
Meta;Software Engineer;Tech;Boston;Internship;Entry;Onsite;66057.99;AUD;14,6
IBM;Software Engineer;Tech;Boston;Part-time;Mid;Remote;85855.12;EUR;11,8
Amazon;Software Engineer;Retail;Austin;Part-time;Entry;Onsite;177296.14;EUR;0,2
Meta;Data Analyst;Finance;Chicago;Internship;Entry;Onsite;40804.87;GBP;11,7
Apple;Data Scientist;Tech;Chicago;Contract;Lead;Onsite;193884.45;USD;15,0
Adobe;Data Analyst;Tech;Austin;Part-time;Entry;Remote;76752.72;AUD;8,2
Adobe;Data Scientist;Retail;Seattle;Full-time;Entry;Onsite;140655.83;AUD;10,8
Tesla;Product Manager;Education;Seattle;Internship;Entry;Hybrid;102549.88;INR;5,6
Microsoft;Data Analyst;Education;San Francisco;Contract;Mid;Onsite;40196.77;AUD;8,4
Tesla;DevOps Engineer;Tech;Austin;Contract;Senior;Remote;128246.15;EUR;2,3
Salesforce;Product Manager;Tech;Boston;Contract;Mid;Hybrid;173676.38;AUD;9,2
Meta;Data Analyst;Finance;Austin;Contract;Senior;Hybrid;31037.98;EUR;8,5
Google;Data Analyst;Media;Remote;Part-time;Lead;Hybrid;107119.78;EUR;5,6
Google;Software Engineer;Finance;Boston;Full-time;Entry;Hybrid;105329.21;GBP;7,3
Salesforce;Data Analyst;Healthcare;Seattle;Full-time;Senior;Onsite;145342.66;GBP;7,3
IBM;Data Analyst;Tech;New York;Contract;Mid;Remote;159907.35;INR;4,9
Tesla;Data Scientist;Media;New York;Contract;Entry;Hybrid;176499.94;USD;6,5
IBM;UX Designer;Media;Chicago;Internship;Senior;Remote;98855.49;INR;2,6
Microsoft;Software Engineer;Education;Remote;Internship;Entry;Hybrid;177989.15;INR;3,3
Salesforce;Data Scientist;Finance;Boston;Contract;Senior;Onsite;192897.97;EUR;3,5
Amazon;DevOps Engineer;Tech;New York;Internship;Lead;Onsite;159179.12;GBP;10,2
Netflix;Software Engineer;Education;San Francisco;Internship;Lead;Onsite;81479.47;INR;8,9
Adobe;Data Analyst;Tech;Austin;Contract;Entry;Onsite;176922.51;USD;9,2
Google;UX Designer;Retail;Chicago;Part-time;Senior;Onsite;110856.93;EUR;14,4
Microsoft;Data Scientist;Media;New York;Full-time;Mid;Onsite;104418.91;GBP;7,9
Meta;UX Designer;Education;Boston;Contract;Entry;Onsite;140041.91;USD;4,9
IBM;Software Engineer;Healthcare;San Francisco;Part-time;Senior;Hybrid;194508.41;GBP;1,9
Netflix;Software Engineer;Media;Chicago;Full-time;Lead;Onsite;91510.78;INR;4,6
Amazon;Software Engineer;Tech;Austin;Full-time;Entry;Onsite;87249.94;AUD;2,0
IBM;Software Engineer;Media;Seattle;Full-time;Lead;Hybrid;144981.7;EUR;14,5
Apple;Product Manager;Education;Boston;Part-time;Senior;Onsite;191012.13;GBP;6,9
Amazon;Software Engineer;Retail;New York;Contract;Entry;Onsite;111700.41;INR;8,3
Meta;Data Analyst;Finance;Austin;Internship;Mid;Hybrid;45591.31;EUR;12,3
Salesforce;Product Manager;Finance;Seattle;Full-time;Senior;Remote;34791.88;USD;12,6
Adobe;DevOps Engineer;Finance;Boston;Internship;Lead;Onsite;30892.7;USD;0,3
IBM;Data Scientist;Education;San Francisco;Contract;Mid;Hybrid;50714.22;EUR;6,3
Adobe;Data Scientist;Retail;San Francisco;Part-time;Mid;Hybrid;102970.61;AUD;5,3
Microsoft;Data Scientist;Healthcare;San Francisco;Full-time;Lead;Hybrid;37400.85;GBP;14,7
Microsoft;Product Manager;Finance;Chicago;Full-time;Senior;Remote;37537.07;AUD;5,1
Adobe;DevOps Engineer;Finance;Boston;Part-time;Entry;Onsite;161952.37;GBP;0,6
Netflix;Product Manager;Retail;Seattle;Internship;Senior;Remote;158059.46;EUR;4,3
Netflix;UX Designer;Education;Chicago;Internship;Lead;Hybrid;195533.01;GBP;10,4
Tesla;Data Analyst;Education;Remote;Part-time;Senior;Hybrid;47441.64;INR;9,9
Amazon;DevOps Engineer;Education;Austin;Internship;Entry;Onsite;177906.32;INR;9,2
Tesla;Product Manager;Retail;Boston;Part-time;Entry;Remote;174273.78;GBP;0,5
IBM;Data Analyst;Retail;New York;Internship;Senior;Hybrid;105469.68;USD;8,6
Meta;Software Engineer;Tech;San Francisco;Part-time;Lead;Onsite;95787.85;AUD;1,8
IBM;Product Manager;Media;Seattle;Part-time;Entry;Remote;174980.47;GBP;2,6
Microsoft;Data Scientist;Retail;Austin;Contract;Mid;Onsite;150625.84;EUR;11,9
Amazon;Software Engineer;Education;San Francisco;Contract;Senior;Hybrid;166622.49;AUD;1,9
Adobe;Data Scientist;Education;Boston;Internship;Entry;Remote;195304.55;USD;6,7
Salesforce;DevOps Engineer;Retail;New York;Part-time;Lead;Onsite;184821.09;USD;12,5
Netflix;DevOps Engineer;Finance;Austin;Contract;Entry;Hybrid;63371.33;AUD;4,1
Amazon;Data Scientist;Retail;New York;Part-time;Senior;Onsite;37003.03;USD;1,2
Tesla;Data Scientist;Media;San Francisco;Internship;Senior;Onsite;192630.53;GBP;3,7
Google;Software Engineer;Education;Seattle;Internship;Lead;Remote;87832.74;EUR;4,7
Amazon;Product Manager;Retail;Remote;Full-time;Senior;Remote;109300.34;INR;6,7
Tesla;Data Scientist;Education;New York;Part-time;Senior;Onsite;152591.83;EUR;11,4
Meta;UX Designer;Tech;San Francisco;Internship;Lead;Remote;66574.55;INR;0,7
Adobe;Product Manager;Retail;San Francisco;Full-time;Lead;Remote;180017.47;INR;11,5
Salesforce;Software Engineer;Healthcare;Remote;Contract;Entry;Hybrid;115723.44;AUD;4,2
Microsoft;UX Designer;Healthcare;Boston;Contract;Senior;Remote;63839.84;AUD;6,0
Netflix;UX Designer;Retail;Seattle;Part-time;Mid;Hybrid;188332.69;INR;2,4
Salesforce;Data Scientist;Retail;Seattle;Contract;Lead;Remote;92620.83;USD;14,7
Meta;DevOps Engineer;Retail;Remote;Part-time;Entry;Onsite;111676.29;AUD;9,4
Apple;Data Analyst;Retail;Chicago;Full-time;Mid;Remote;104976.56;GBP;2,3
Adobe;DevOps Engineer;Media;San Francisco;Part-time;Mid;Onsite;85258.42;GBP;7,9
Netflix;Data Scientist;Healthcare;Chicago;Contract;Lead;Remote;192747.36;INR;8,4
Adobe;Product Manager;Education;Austin;Contract;Senior;Remote;127491.06;AUD;5,7
Meta;DevOps Engineer;Tech;Austin;Internship;Senior;Onsite;111443.47;EUR;12,4
IBM;DevOps Engineer;Retail;New York;Part-time;Entry;Onsite;183881.31;EUR;9,6
Adobe;Data Analyst;Media;Boston;Part-time;Entry;Onsite;196244.82;EUR;6,1
Meta;Product Manager;Healthcare;Chicago;Full-time;Entry;Onsite;127602.67;AUD;11,1
Amazon;Data Analyst;Education;Boston;Internship;Mid;Onsite;193562.33;INR;13,2
Netflix;Product Manager;Education;Chicago;Internship;Mid;Onsite;109563.53;EUR;12,1
Amazon;Data Analyst;Media;Austin;Contract;Mid;Remote;133862.26;GBP;12,4
Microsoft;Software Engineer;Finance;Seattle;Contract;Mid;Remote;74333.5;EUR;6,7
IBM;Data Analyst;Healthcare;Chicago;Contract;Mid;Remote;143523.64;GBP;4,6
Meta;DevOps Engineer;Tech;Chicago;Contract;Senior;Onsite;67544.37;EUR;7,2
Salesforce;UX Designer;Retail;Boston;Part-time;Mid;Onsite;158305.72;USD;7,9
IBM;Data Analyst;Tech;Boston;Part-time;Mid;Remote;85780,00;AUD;6,6
Salesforce;UX Designer;Tech;Seattle;Part-time;Lead;Hybrid;125864.9;AUD;6,9
Google;DevOps Engineer;Finance;Remote;Full-time;Entry;Hybrid;88569.91;USD;8,1
Tesla;Software Engineer;Finance;Boston;Internship;Senior;Hybrid;106251.31;GBP;5,6
Salesforce;UX Designer;Retail;New York;Part-time;Entry;Remote;196343.42;GBP;10,1
Apple;Software Engineer;Education;Austin;Part-time;Senior;Remote;189359.76;USD;0,5
Microsoft;Data Analyst;Retail;San Francisco;Internship;Entry;Remote;155891.98;GBP;6,6
Meta;Software Engineer;Media;Remote;Contract;Senior;Remote;81299.95;EUR;14,8
Google;Data Scientist;Retail;Chicago;Part-time;Lead;Onsite;114255.53;INR;14,1
Tesla;Software Engineer;Healthcare;Seattle;Part-time;Lead;Remote;174387.96;INR;12,9
Tesla;Data Scientist;Retail;New York;Internship;Mid;Hybrid;64567.24;USD;13,8
Apple;Data Analyst;Healthcare;Seattle;Full-time;Entry;Remote;166790.61;AUD;10,9
Netflix;Product Manager;Tech;New York;Part-time;Entry;Onsite;199927.24;GBP;13,7
Apple;Data Scientist;Healthcare;Boston;Contract;Lead;Hybrid;120720.52;INR;4,6
Adobe;Product Manager;Finance;Austin;Contract;Lead;Remote;125629.2;EUR;11,1
IBM;DevOps Engineer;Education;Austin;Part-time;Mid;Hybrid;69103.17;AUD;12,5
Adobe;DevOps Engineer;Media;Chicago;Internship;Lead;Remote;154571.28;INR;2,5
Salesforce;DevOps Engineer;Tech;Remote;Full-time;Entry;Onsite;38247.45;USD;6,2
Salesforce;UX Designer;Healthcare;San Francisco;Internship;Lead;Remote;31124.1;AUD;6,2
Meta;Data Analyst;Retail;Boston;Internship;Mid;Remote;186068.3;AUD;2,2
Netflix;Product Manager;Education;San Francisco;Contract;Lead;Hybrid;126050.37;EUR;4,5
Tesla;UX Designer;Retail;Seattle;Full-time;Entry;Onsite;59135.21;GBP;12,7
Google;Software Engineer;Finance;Boston;Internship;Senior;Remote;187107.08;INR;13,5
Netflix;Data Analyst;Finance;Remote;Part-time;Lead;Remote;80877.07;AUD;3,6
Amazon;DevOps Engineer;Media;San Francisco;Contract;Entry;Remote;104305,00;USD;5,1
Netflix;Data Analyst;Media;Austin;Internship;Lead;Remote;90487.9;GBP;6,5
IBM;Product Manager;Finance;Chicago;Full-time;Entry;Hybrid;56217.56;EUR;11,1
Meta;UX Designer;Healthcare;Boston;Contract;Entry;Remote;44840.53;GBP;6,7
Microsoft;Product Manager;Retail;San Francisco;Contract;Lead;Remote;79614.05;GBP;11,7
Tesla;Software Engineer;Finance;Austin;Contract;Senior;Hybrid;54808.92;EUR;6,5
Netflix;Product Manager;Finance;Chicago;Internship;Mid;Hybrid;48185.3;INR;0,1
Netflix;UX Designer;Healthcare;Seattle;Part-time;Senior;Hybrid;132545.92;EUR;7,2
Adobe;Data Scientist;Finance;Austin;Internship;Senior;Hybrid;92052.64;AUD;3,0
Adobe;DevOps Engineer;Finance;Seattle;Contract;Entry;Hybrid;144406.2;EUR;9,5
Tesla;Data Analyst;Education;Remote;Internship;Lead;Onsite;116124.15;GBP;8,2
Microsoft;Data Analyst;Finance;Chicago;Contract;Mid;Onsite;134155.24;AUD;14,8
Microsoft;Product Manager;Finance;Remote;Part-time;Lead;Hybrid;96492.81;AUD;10,4
Meta;UX Designer;Tech;San Francisco;Part-time;Senior;Hybrid;88321.34;EUR;7,8
Adobe;Product Manager;Tech;Austin;Full-time;Entry;Remote;174360.6;USD;10,2
Salesforce;Software Engineer;Healthcare;Remote;Internship;Lead;Remote;165618.48;EUR;2,8
Apple;UX Designer;Retail;Seattle;Internship;Entry;Onsite;66515.34;INR;11,3
Salesforce;Software Engineer;Healthcare;Austin;Part-time;Lead;Remote;74600.08;GBP;7,9
IBM;Data Analyst;Healthcare;Austin;Internship;Mid;Onsite;150018.02;INR;13,8
Apple;Product Manager;Tech;New York;Contract;Mid;Onsite;96038.76;AUD;2,1
Salesforce;DevOps Engineer;Media;New York;Part-time;Lead;Hybrid;53850.41;INR;12,6
Adobe;Software Engineer;Finance;Boston;Internship;Lead;Hybrid;146398.43;GBP;10,7
Google;Software Engineer;Healthcare;San Francisco;Contract;Mid;Onsite;79073.95;GBP;8,5
Microsoft;Product Manager;Retail;Boston;Contract;Entry;Onsite;105032.32;EUR;14,8
Google;UX Designer;Healthcare;Austin;Full-time;Lead;Remote;161857.38;EUR;3,1
IBM;DevOps Engineer;Education;New York;Part-time;Mid;Remote;166924.88;AUD;5,3
Meta;Product Manager;Retail;Austin;Full-time;Mid;Hybrid;186190.68;INR;13,0
Netflix;Software Engineer;Media;Seattle;Internship;Mid;Onsite;137508.34;GBP;5,6
Meta;DevOps Engineer;Healthcare;Seattle;Internship;Senior;Onsite;30420.42;USD;11,0
Salesforce;UX Designer;Finance;Seattle;Part-time;Lead;Hybrid;84887.08;INR;5,1
Netflix;DevOps Engineer;Tech;San Francisco;Full-time;Lead;Remote;51120.32;EUR;6,6
Amazon;DevOps Engineer;Healthcare;New York;Contract;Entry;Onsite;91274.02;USD;5,6
Apple;UX Designer;Media;San Francisco;Full-time;Entry;Remote;111057.14;EUR;8,9
Netflix;Data Analyst;Education;Chicago;Part-time;Lead;Remote;68920.97;USD;11,0
Meta;Software Engineer;Education;Boston;Part-time;Mid;Remote;120186.41;USD;9,2
Amazon;UX Designer;Retail;Chicago;Internship;Mid;Remote;182420.8;EUR;11,3
Tesla;Product Manager;Finance;New York;Contract;Entry;Remote;124077.43;AUD;10,8
Meta;Software Engineer;Retail;Remote;Part-time;Lead;Hybrid;139848.86;EUR;7,4
Microsoft;Data Scientist;Tech;Austin;Contract;Mid;Hybrid;176338.38;AUD;6,3
Microsoft;Data Analyst;Retail;San Francisco;Full-time;Senior;Remote;36770.57;USD;14,2
Salesforce;UX Designer;Education;Chicago;Internship;Entry;Onsite;121216.02;AUD;2,3
Apple;Software Engineer;Retail;Austin;Internship;Entry;Hybrid;148774.9;EUR;0,9
IBM;Data Analyst;Healthcare;Chicago;Part-time;Entry;Remote;150343.1;USD;2,5
Meta;Software Engineer;Healthcare;New York;Contract;Entry;Remote;86951.87;GBP;4,1
Adobe;UX Designer;Retail;Austin;Full-time;Lead;Onsite;58369.84;EUR;3,8
Salesforce;Data Analyst;Tech;Boston;Full-time;Mid;Remote;110199.98;GBP;13,8
Tesla;Software Engineer;Healthcare;New York;Internship;Senior;Hybrid;170419.49;AUD;5,6
Salesforce;Data Analyst;Education;San Francisco;Internship;Senior;Hybrid;85641.16;AUD;6,9
Meta;DevOps Engineer;Retail;New York;Internship;Senior;Onsite;195215.82;EUR;11,0
Tesla;Data Analyst;Finance;Remote;Contract;Entry;Hybrid;30248.55;GBP;12,7
Apple;UX Designer;Education;San Francisco;Part-time;Senior;Remote;37463.05;EUR;13,5
Microsoft;Data Scientist;Tech;Remote;Part-time;Lead;Remote;130622.28;USD;6,5
Netflix;UX Designer;Media;Boston;Contract;Senior;Hybrid;76232.5;USD;14,2
Amazon;UX Designer;Education;Austin;Internship;Entry;Onsite;90908.87;EUR;6,8
Meta;DevOps Engineer;Media;Remote;Full-time;Mid;Hybrid;55215.05;EUR;14,5
Meta;Software Engineer;Tech;Seattle;Internship;Mid;Remote;108547.35;EUR;1,8
