Company;Job Title;Industry;Location;Employment Type;Experience Level;Remote Flexibility;Salary (Annual);Currency;Years of Experience
Tesla;Product Manager;Media;Chicago;Full-time;Senior;Remote;33706.03;USD;3,0
Netflix;Data Analyst;Tech;Seattle;Full-time;Mid;Onsite;103636.58;GBP;7,4
Apple;Software Engineer;Healthcare;Austin;Internship;Mid;Remote;134398.12;AUD;3,7
Adobe;Data Analyst;Tech;Austin;Internship;Mid;Hybrid;63907.83;AUD;3,7
Netflix;UX Designer;Retail;Boston;Internship;Senior;Onsite;115406.85;GBP;4,1
Meta;Data Analyst;Education;Remote;Contract;Mid;Remote;47022.84;EUR;4,0
Tesla;Product Manager;Finance;New York;Part-time;Senior;Onsite;148596.52;AUD;0,4
Apple;UX Designer;Retail;Austin;Part-time;Lead;Remote;45343.75;EUR;9,0
IBM;Software Engineer;Finance;Austin;Part-time;Senior;Remote;33725.19;AUD;10,6
Microsoft;Product Manager;Media;Chicago;Internship;Entry;Hybrid;81300.08;EUR;14,6
Amazon;DevOps Engineer;Retail;Chicago;Contract;Mid;Onsite;130121.53;EUR;5,7
IBM;UX Designer;Retail;San Francisco;Part-time;Senior;Onsite;67552.19;AUD;1,6
Apple;Product Manager;Healthcare;New York;Full-time;Senior;Hybrid;31937.26;EUR;3,7
Google;Data Analyst;Education;Seattle;Internship;Mid;Hybrid;113823.94;GBP;5,3
IBM;DevOps Engineer;Media;New York;Part-time;Lead;Remote;165863.08;USD;4,4
Amazon;UX Designer;Finance;Chicago;Full-time;Entry;Hybrid;130985.19;AUD;13,4
Tesla;Software Engineer;Tech;San Francisco;Contract;Mid;Remote;99577.58;AUD;10,8
Microsoft;Data Analyst;Education;Remote;Internship;Mid;Remote;91340.92;GBP;1,3
Apple;Software Engineer;Media;Austin;Full-time;Lead;Remote;82420.08;GBP;7,1
Netflix;UX Designer;Healthcare;New York;Internship;Entry;Hybrid;104755.87;INR;3,4
Microsoft;Data Analyst;Media;Austin;Internship;Mid;Onsite;40367.24;GBP;12,3
Apple;UX Designer;Healthcare;San Francisco;Internship;Entry;Onsite;127107.39;AUD;12,0
Adobe;Software Engineer;Finance;New York;Part-time;Mid;Remote;101973.73;GBP;3,0
Microsoft;Data Analyst;Education;Remote;Internship;Senior;Hybrid;118346.99;USD;11,8
Microsoft;UX Designer;Finance;New York;Full-time;Entry;Onsite;162522.6;INR;13,0
Adobe;Data Scientist;Retail;Seattle;Full-time;Mid;Hybrid;98505.57;AUD;9,1
Netflix;DevOps Engineer;Finance;San Francisco;Internship;Senior;Hybrid;33439.59;INR;4,7
Apple;Software Engineer;Healthcare;Chicago;Internship;Senior;Hybrid;153895.9;AUD;9,7
Tesla;DevOps Engineer;Education;Boston;Contract;Entry;Onsite;164553.37;USD;4,7
Salesforce;Data Scientist;Tech;New York;Part-time;Mid;Remote;72413.34;GBP;0,8
Adobe;Data Scientist;Education;Chicago;Full-time;Entry;Remote;93319.35;AUD;6,7
Amazon;Product Manager;Media;Boston;Full-time;Senior;Remote;95716.16;EUR;12,8
Meta;DevOps Engineer;Education;Remote;Full-time;Entry;Hybrid;184957.62;EUR;9,0
Meta;DevOps Engineer;Media;Chicago;Contract;Lead;Hybrid;174769.65;GBP;3,8
Tesla;Data Scientist;Tech;San Francisco;Contract;Senior;Hybrid;146350.23;GBP;1,0
Meta;DevOps Engineer;Media;Chicago;Contract;Mid;Remote;117939.91;EUR;13,5
Google;DevOps Engineer;Education;Austin;Contract;Lead;Hybrid;96006.74;USD;8,7
Apple;DevOps Engineer;Retail;Chicago;Internship;Senior;Onsite;81033.12;EUR;12,6
Amazon;DevOps Engineer;Healthcare;Chicago;Part-time;Senior;Onsite;45180.97;INR;3,3
IBM;Product Manager;Education;Boston;Full-time;Lead;Remote;177286.87;AUD;8,7
Salesforce;Data Analyst;Media;Seattle;Contract;Lead;Remote;178044.35;EUR;2,1
Adobe;Software Engineer;Healthcare;Boston;Part-time;Entry;Hybrid;86547.01;EUR;4,7
Amazon;Data Scientist;Finance;Seattle;Full-time;Mid;Onsite;103730.94;GBP;6,7
Apple;DevOps Engineer;Healthcare;San Francisco;Contract;Mid;Remote;145047.18;EUR;3,4
Salesforce;Data Scientist;Healthcare;New York;Full-time;Entry;Hybrid;191238.77;GBP;10,9
Amazon;Product Manager;Education;Austin;Part-time;Mid;Hybrid;33251.2;EUR;10,9
Amazon;Data Analyst;Healthcare;Chicago;Full-time;Lead;Onsite;73484.16;AUD;9,3
Google;Data Analyst;Media;San Francisco;Internship;Lead;Hybrid;51011.16;INR;7,1
Microsoft;DevOps Engineer;Retail;Austin;Part-time;Lead;Remote;116969.41;AUD;1,8
Apple;Product Manager;Retail;New York;Contract;Lead;Hybrid;57263.51;AUD;7,4
Google;Data Analyst;Media;San Francisco;Full-time;Lead;Remote;191405.82;AUD;1,1
Meta;Product Manager;Education;San Francisco;Full-time;Mid;Remote;174882.28;INR;12,0
Google;Data Analyst;Finance;Chicago;Part-time;Senior;Hybrid;182069.69;AUD;4,0
Tesla;UX Designer;Education;Austin;Internship;Lead;Hybrid;140303.9;EUR;1,7
IBM;UX Designer;Retail;Chicago;Internship;Mid;Onsite;94557.63;INR;9,2
Tesla;UX Designer;Tech;San Francisco;Contract;Senior;Remote;149776.59;AUD;11,5
Netflix;Data Scientist;Retail;Chicago;Full-time;Lead;Onsite;153530.83;GBP;5,2
IBM;Data Analyst;Tech;Chicago;Part-time;Lead;Hybrid;177800.66;USD;11,3
Google;Data Scientist;Finance;Remote;Internship;Lead;Remote;43401.2;GBP;12,0
Microsoft;UX Designer;Media;Chicago;Full-time;Entry;Hybrid;100097.55;AUD;8,2
Salesforce;Data Scientist;Finance;Chicago;Internship;Senior;Hybrid;170302.87;EUR;12,7
Netflix;DevOps Engineer;Education;San Francisco;Full-time;Mid;Remote;88030.71;INR;8,2
Amazon;UX Designer;Finance;Boston;Internship;Entry;Hybrid;133844.8;EUR;1,8
Apple;DevOps Engineer;Healthcare;San Francisco;Internship;Entry;Onsite;172369.26;AUD;1,8
Amazon;UX Designer;Tech;Remote;Full-time;Lead;Onsite;112098.43;AUD;11,7
Amazon;Data Analyst;Education;Chicago;Contract;Lead;Hybrid;196515.13;EUR;4,1
Amazon;UX Designer;Retail;Chicago;Contract;Senior;Onsite;155259.17;AUD;9,5
Netflix;DevOps Engineer;Finance;Chicago;Part-time;Senior;Onsite;49618.89;INR;8,4
Salesforce;Product Manager;Education;Boston;Full-time;Entry;Remote;94747.95;USD;10,1
Meta;Software Engineer;Tech;Chicago;Contract;Mid;Onsite;35492.09;GBP;1,5
Salesforce;DevOps Engineer;Healthcare;Chicago;Full-time;Lead;Hybrid;100816.26;INR;14,5
Adobe;Software Engineer;Media;Chicago;Contract;Mid;Onsite;193929.27;INR;6,7
Microsoft;UX Designer;Tech;Seattle;Contract;Senior;Remote;57357.9;INR;0,1
Netflix;Data Scientist;Tech;Boston;Contract;Lead;Onsite;123527.23;USD;11,8
Salesforce;Data Analyst;Retail;New York;Internship;Lead;Remote;89398.5;EUR;10,0
IBM;Data Scientist;Education;Remote;Full-time;Entry;Onsite;88821.24;EUR;13,6
Netflix;UX Designer;Tech;Seattle;Contract;Senior;Remote;184927.11;INR;7,7
Apple;Product Manager;Retail;San Francisco;Full-time;Mid;Onsite;120644.99;USD;3,2
Apple;Data Scientist;Media;Chicago;Internship;Entry;Onsite;146627.4;USD;6,9
Amazon;Product Manager;Retail;San Francisco;Part-time;Senior;Hybrid;95965.54;GBP;6,5
IBM;Data Analyst;Media;Remote;Full-time;Entry;Hybrid;187768.12;USD;4,3
Adobe;UX Designer;Education;Boston;Full-time;Lead;Remote;120689.52;EUR;11,2
Netflix;Data Analyst;Retail;Boston;Part-time;Entry;Remote;30855.07;AUD;5,9
Netflix;Software Engineer;Education;Chicago;Part-time;Mid;Remote;67533.95;INR;2,9
Salesforce;UX Designer;Media;Remote;Full-time;Senior;Onsite;41451.67;USD;3,0
Apple;Data Analyst;Healthcare;Remote;Full-time;Mid;Hybrid;112596.41;INR;9,2
IBM;Product Manager;Healthcare;Seattle;Part-time;Entry;Hybrid;71849.77;EUR;10,7
Netflix;UX Designer;Education;Seattle;Contract;Senior;Hybrid;123784.21;EUR;9,7
Apple;Product Manager;Media;Chicago;Full-time;Entry;Remote;174429.84;USD;12,2
Google;Data Scientist;Healthcare;Remote;Internship;Mid;Hybrid;96724.72;AUD;11,0
Microsoft;UX Designer;Healthcare;Remote;Full-time;Mid;Onsite;146307.48;AUD;2,1
Amazon;DevOps Engineer;Media;Seattle;Contract;Entry;Remote;159450.3;EUR;0,9
Salesforce;Product Manager;Education;Seattle;Internship;Entry;Remote;196700.26;INR;1,5
Meta;Data Scientist;Retail;Remote;Part-time;Lead;Onsite;94348.15;AUD;9,8
Apple;Data Scientist;Education;Austin;Contract;Lead;Hybrid;180819.23;USD;7,5
Salesforce;DevOps Engineer;Healthcare;New York;Part-time;Mid;Remote;91577.9;USD;9,9
Adobe;UX Designer;Finance;Remote;Part-time;Lead;Remote;71423.95;EUR;8,6
IBM;Software Engineer;Tech;New York;Contract;Mid;Onsite;192900.52;AUD;14,5
Apple;UX Designer;Retail;Seattle;Internship;Mid;Remote;171161.81;AUD;2,1
Meta;Software Engineer;Media;Chicago;Contract;Lead;Onsite;130401.32;EUR;5,7
Salesforce;DevOps Engineer;Education;Boston;Part-time;Entry;Remote;110897.76;AUD;9,0
Amazon;Data Scientist;Retail;Boston;Full-time;Lead;Onsite;101516.28;USD;10,5
Tesla;Product Manager;Retail;Boston;Full-time;Lead;Remote;73268.06;EUR;13,7
Tesla;Product Manager;Finance;San Francisco;Full-time;Entry;Onsite;31222.99;EUR;10,3
Tesla;DevOps Engineer;Retail;Austin;Contract;Lead;Onsite;92159.5;INR;14,9
Salesforce;UX Designer;Finance;Austin;Internship;Senior;Hybrid;128200.7;GBP;11,0
Amazon;Data Analyst;Finance;Remote;Internship;Senior;Onsite;134384.31;USD;2,4
IBM;UX Designer;Tech;San Francisco;Contract;Mid;Hybrid;43606.76;USD;10,9
IBM;Data Analyst;Finance;Chicago;Internship;Lead;Remote;64290.23;AUD;4,3
Apple;Data Scientist;Finance;Chicago;Full-time;Senior;Remote;141353.25;EUR;1,3
Tesla;Data Scientist;Finance;Remote;Full-time;Entry;Remote;123430.75;AUD;13,7
Apple;UX Designer;Education;Remote;Full-time;Senior;Remote;99212.89;USD;8,4
Salesforce;Product Manager;Retail;Boston;Contract;Lead;Hybrid;125738.66;EUR;11,4
Google;UX Designer;Tech;Austin;Full-time;Lead;Onsite;164071.52;EUR;10,2
Salesforce;Data Scientist;Tech;Chicago;Contract;Mid;Hybrid;45811.6;INR;1,1
IBM;Product Manager;Finance;Chicago;Part-time;Lead;Onsite;63943.31;EUR;13,1
IBM;Product Manager;Finance;Boston;Full-time;Entry;Remote;144888.06;GBP;9,2
Netflix;UX Designer;Retail;Boston;Contract;Lead;Remote;197347.1;AUD;4,2
Tesla;UX Designer;Retail;San Francisco;Contract;Lead;Onsite;161903.67;GBP;14,6
Google;DevOps Engineer;Finance;Seattle;Full-time;Senior;Hybrid;134172.28;INR;2,8
IBM;Product Manager;Healthcare;New York;Internship;Lead;Remote;101245.8;INR;5,5
Amazon;Data Scientist;Media;New York;Full-time;Senior;Remote;124407.81;GBP;2,9
Adobe;Software Engineer;Media;Remote;Contract;Lead;Hybrid;72665.59;AUD;0,7
Meta;UX Designer;Media;San Francisco;Internship;Senior;Hybrid;91363.54;AUD;8,4
Netflix;DevOps Engineer;Retail;New York;Part-time;Senior;Hybrid;85265.35;AUD;7,3
Adobe;DevOps Engineer;Finance;Boston;Part-time;Senior;Hybrid;137316.48;AUD;6,1
Netflix;Product Manager;Media;Austin;Contract;Lead;Hybrid;180907.61;INR;11,2
Google;Software Engineer;Media;New York;Contract;Entry;Remote;58374.78;USD;1,4
Tesla;Data Scientist;Tech;San Francisco;Contract;Mid;Remote;141321.55;GBP;4,6
Amazon;Software Engineer;Retail;Boston;Part-time;Entry;Remote;142803.35;INR;13,0
Amazon;DevOps Engineer;Retail;New York;Internship;Lead;Onsite;138763.71;AUD;4,6
Microsoft;UX Designer;Healthcare;Austin;Internship;Senior;Remote;81607.4;USD;7,8
Google;DevOps Engineer;Education;Boston;Internship;Senior;Remote;160197.76;INR;9,0
Salesforce;UX Designer;Education;New York;Part-time;Lead;Hybrid;67500.71;USD;6,3
Meta;Product Manager;Media;Chicago;Contract;Lead;Remote;175091.94;EUR;2,0
Meta;DevOps Engineer;Retail;Seattle;Part-time;Senior;Remote;55865.38;AUD;0,3
Adobe;DevOps Engineer;Tech;New York;Full-time;Mid;Remote;113908.52;INR;6,3
Google;Product Manager;Tech;Boston;Part-time;Entry;Hybrid;161860.99;USD;8,1
Google;Data Analyst;Media;New York;Internship;Lead;Remote;155395.23;USD;3,0
Meta;Product Manager;Finance;Chicago;Full-time;Entry;Hybrid;111809.03;INR;3,0
Apple;DevOps Engineer;Education;Austin;Full-time;Mid;Hybrid;129398.47;GBP;11,8
Adobe;DevOps Engineer;Retail;New York;Contract;Entry;Remote;56808.74;USD;10,3
Amazon;DevOps Engineer;Retail;Boston;Full-time;Mid;Hybrid;69554.69;AUD;11,8
Tesla;Product Manager;Media;New York;Contract;Entry;Hybrid;150126.42;AUD;4,4
Netflix;Product Manager;Media;Seattle;Contract;Mid;Remote;120293.36;GBP;4,4
Salesforce;UX Designer;Media;New York;Full-time;Senior;Onsite;70593.71;USD;9,9
Adobe;Data Scientist;Finance;Remote;Contract;Senior;Hybrid;138953.67;USD;1,4
Google;Software Engineer;Tech;Seattle;Part-time;Entry;Remote;127072.07;GBP;9,9
Netflix;Software Engineer;Retail;Chicago;Full-time;Entry;Remote;141477.39;USD;7,0
Tesla;Product Manager;Media;San Francisco;Contract;Entry;Onsite;41965.98;INR;1,2
Apple;Data Scientist;Education;New York;Part-time;Mid;Onsite;136305.26;EUR;8,4
IBM;Product Manager;Media;Seattle;Internship;Entry;Remote;164718.47;AUD;6,0
IBM;UX Designer;Healthcare;Austin;Contract;Senior;Hybrid;159911.34;GBP;12,4
Apple;UX Designer;Retail;Chicago;Contract;Senior;Hybrid;106074.96;GBP;0,0
Amazon;Product Manager;Tech;Austin;Part-time;Mid;Hybrid;33689.23;INR;13,8
Amazon;Data Analyst;Tech;Seattle;Contract;Mid;Remote;75047.99;AUD;3,7
IBM;Software Engineer;Media;San Francisco;Contract;Lead;Remote;113006.99;AUD;12,3
IBM;UX Designer;Tech;Boston;Full-time;Senior;Hybrid;179564.73;GBP;6,2
Tesla;Data Analyst;Healthcare;Remote;Full-time;Senior;Onsite;126035.19;INR;7,5
Tesla;UX Designer;Retail;Remote;Full-time;Mid;Hybrid;79263.11;GBP;2,2
Google;Data Scientist;Education;Austin;Full-time;Lead;Onsite;103863.49;EUR;11,4
IBM;Software Engineer;Retail;Remote;Part-time;Mid;Remote;75263.71;GBP;4,9
Tesla;Product Manager;Healthcare;New York;Contract;Senior;Onsite;141419.68;INR;2,5
Adobe;Data Analyst;Finance;New York;Contract;Mid;Onsite;174969.9;USD;11,1
Meta;Data Analyst;Healthcare;Chicago;Full-time;Senior;Hybrid;110102.35;INR;3,1
Meta;Data Scientist;Education;Remote;Part-time;Entry;Hybrid;129110.84;AUD;0,7
IBM;Product Manager;Tech;Seattle;Full-time;Entry;Hybrid;142263.38;INR;13,0
Tesla;Data Scientist;Media;San Francisco;Contract;Lead;Onsite;120365.31;EUR;3,0
Salesforce;Product Manager;Healthcare;Seattle;Internship;Mid;Remote;88952.58;INR;5,3
Google;DevOps Engineer;Healthcare;Seattle;Full-time;Senior;Remote;55790.39;GBP;9,9
IBM;DevOps Engineer;Media;New York;Internship;Mid;Onsite;55967.36;INR;13,6
Amazon;Data Scientist;Retail;Chicago;Part-time;Mid;Hybrid;147050.46;AUD;13,6
Netflix;Data Analyst;Retail;Remote;Full-time;Mid;Hybrid;172718.83;EUR;10,9
Meta;Software Engineer;Finance;San Francisco;Part-time;Mid;Remote;159616.07;AUD;9,3
Apple;Software Engineer;Media;San Francisco;Contract;Entry;Onsite;162570.46;EUR;7,5
Tesla;UX Designer;Education;New York;Part-time;Mid;Remote;35479.02;USD;13,9
Microsoft;Software Engineer;Education;Boston;Internship;Senior;Hybrid;180889.78;GBP;6,1
Tesla;Data Scientist;Media;Remote;Full-time;Entry;Hybrid;107673.07;USD;13,2
Google;Data Scientist;Education;Remote;Full-time;Mid;Hybrid;104724.16;INR;11,6
IBM;Data Analyst;Media;Remote;Part-time;Lead;Onsite;106788.67;AUD;1,7
Tesla;Product Manager;Education;San Francisco;Part-time;Lead;Onsite;182424.98;EUR;13,2
Amazon;DevOps Engineer;Media;San Francisco;Full-time;Entry;Onsite;106397.73;INR;1,3
Amazon;UX Designer;Retail;Seattle;Full-time;Mid;Hybrid;126133.57;EUR;2,4
Meta;DevOps Engineer;Education;Austin;Part-time;Entry;Remote;193273.76;USD;9,3
Adobe;Data Scientist;Tech;Remote;Internship;Mid;Remote;130106.6;GBP;6,8
Apple;Data Scientist;Healthcare;Remote;Part-time;Entry;Remote;55203.55;INR;0,6
Meta;Product Manager;Tech;San Francisco;Full-time;Lead;Remote;57426.99;INR;9,2
Adobe;DevOps Engineer;Retail;Austin;Full-time;Entry;Hybrid;84879.71;GBP;12,3
Amazon;Data Analyst;Media;Boston;Contract;Senior;Onsite;100338.84;EUR;10,4
Salesforce;Data Analyst;Education;Chicago;Contract;Lead;Onsite;174125.65;INR;7,9
Adobe;Data Scientist;Media;Chicago;Internship;Lead;Remote;180222.83;EUR;10,6
Microsoft;DevOps Engineer;Finance;Boston;Internship;Lead;Remote;86744.68;AUD;12,1
Meta;Data Analyst;Healthcare;Austin;Contract;Entry;Remote;146592.08;INR;5,9
Apple;Product Manager;Healthcare;Chicago;Internship;Lead;Remote;139760.88;GBP;2,3
Tesla;DevOps Engineer;Tech;Boston;Contract;Senior;Onsite;121100.53;EUR;8,7
Meta;Data Analyst;Healthcare;Seattle;Part-time;Lead;Remote;131182.62;INR;10,6
Microsoft;UX Designer;Finance;Austin;Internship;Senior;Remote;119267.07;EUR;1,7
Google;UX Designer;Retail;New York;Part-time;Senior;Hybrid;154514.98;AUD;4,7
Salesforce;DevOps Engineer;Finance;New York;Full-time;Lead;Hybrid;151325.16;AUD;1,7
Netflix;UX Designer;Tech;San Francisco;Contract;Entry;Onsite;158943.95;EUR;4,8
Adobe;DevOps Engineer;Tech;Austin;Part-time;Mid;Hybrid;49458.27;AUD;8,4
Netflix;Product Manager;Finance;Chicago;Contract;Mid;Remote;42111.29;AUD;13,4
Adobe;DevOps Engineer;Tech;San Francisco;Internship;Entry;Remote;102499.18;EUR;10,6
Meta;Product Manager;Finance;Chicago;Full-time;Lead;Onsite;52405.2;GBP;1,5
Apple;Software Engineer;Retail;Austin;Contract;Lead;Remote;148934.49;INR;11,8
Adobe;Data Analyst;Healthcare;Seattle;Internship;Mid;Hybrid;160550.06;AUD;8,6
Microsoft;Product Manager;Retail;Chicago;Full-time;Senior;Onsite;108365.72;AUD;6,2
Adobe;UX Designer;Tech;Austin;Part-time;Lead;Hybrid;126425.9;INR;8,2
IBM;UX Designer;Tech;Remote;Internship;Senior;Onsite;46601.16;GBP;2,6
IBM;UX Designer;Healthcare;Seattle;Full-time;Entry;Remote;168895.71;AUD;13,5
Meta;UX Designer;Retail;Remote;Internship;Mid;Remote;145857.85;INR;4,5
IBM;Data Analyst;Retail;Remote;Internship;Mid;Hybrid;40609.79;AUD;14,5
Netflix;Data Analyst;Healthcare;Boston;Full-time;Mid;Hybrid;149377.72;GBP;9,4
Apple;DevOps Engineer;Finance;Seattle;Part-time;Mid;Onsite;95381.16;INR;12,6
Microsoft;DevOps Engineer;Tech;New York;Internship;Lead;Remote;44392.79;GBP;12,9
Salesforce;UX Designer;Retail;Boston;Internship;Lead;Hybrid;68375.96;GBP;9,1
Meta;UX Designer;Retail;Remote;Contract;Entry;Remote;126585.43;INR;1,7
Salesforce;Product Manager;Education;Remote;Full-time;Entry;Remote;110316.77;USD;10,3
Netflix;Data Scientist;Tech;Seattle;Internship;Lead;Onsite;154748.47;GBP;5,3
IBM;DevOps Engineer;Healthcare;Chicago;Contract;Entry;Onsite;110437.29;EUR;8,6
Adobe;Data Analyst;Finance;Remote;Full-time;Senior;Hybrid;52531.59;INR;4,1
IBM;DevOps Engineer;Finance;Chicago;Internship;Senior;Remote;74412.94;EUR;7,3
Amazon;Data Scientist;Finance;Boston;Internship;Lead;Hybrid;70451.06;GBP;10,9
Netflix;Data Analyst;Media;Austin;Full-time;Entry;Remote;108882.54;GBP;4,5
Tesla;UX Designer;Healthcare;New York;Internship;Entry;Hybrid;187627.83;GBP;5,7
Salesforce;DevOps Engineer;Healthcare;Boston;Internship;Senior;Hybrid;75955.44;USD;3,8
Apple;DevOps Engineer;Media;Remote;Part-time;Senior;Onsite;147347.32;EUR;4,7
Google;UX Designer;Tech;Remote;Full-time;Lead;Hybrid;67300.78;INR;3,8
IBM;DevOps Engineer;Finance;Remote;Full-time;Entry;Remote;175594.94;EUR;5,6
Meta;Product Manager;Education;Chicago;Full-time;Lead;Hybrid;160791.05;INR;3,9
Netflix;Data Analyst;Healthcare;Boston;Contract;Mid;Hybrid;41797.74;EUR;9,2
Salesforce;UX Designer;Finance;Remote;Full-time;Lead;Onsite;74029.36;USD;1,1
Google;UX Designer;Finance;Chicago;Full-time;Entry;Onsite;96382.25;EUR;10,5
Adobe;UX Designer;Education;Seattle;Full-time;Mid;Remote;95352.06;GBP;1,8
Tesla;Data Analyst;Media;Chicago;Full-time;Senior;Onsite;175068.15;INR;1,2
Google;UX Designer;Media;New York;Contract;Lead;Remote;137204.9;INR;7,3
Apple;Data Analyst;Media;Remote;Part-time;Lead;Hybrid;40708.75;AUD;9,7
Google;Data Analyst;Healthcare;San Francisco;Contract;Entry;Hybrid;50091.81;AUD;6,9
Microsoft;Data Analyst;Media;New York;Internship;Entry;Hybrid;184220.41;AUD;0,7
Meta;Data Analyst;Education;Remote;Part-time;Entry;Remote;49410.55;AUD;12,0
Tesla;Product Manager;Tech;Chicago;Part-time;Senior;Remote;159918.74;AUD;2,6
Tesla;Software Engineer;Media;Austin;Part-time;Lead;Remote;187364.84;USD;2,0
Adobe;Data Analyst;Tech;San Francisco;Part-time;Entry;Onsite;140798.48;INR;6,2
Meta;Data Scientist;Education;Seattle;Part-time;Mid;Onsite;147584.51;AUD;2,7
Meta;Product Manager;Education;San Francisco;Part-time;Mid;Remote;197722.6;USD;9,3
Apple;Product Manager;Tech;New York;Full-time;Mid;Onsite;173442.89;GBP;7,5
Netflix;Product Manager;Finance;Seattle;Contract;Senior;Onsite;166876.12;GBP;0,6
Google;UX Designer;Retail;San Francisco;Full-time;Mid;Onsite;105619.55;AUD;4,9
Microsoft;Product Manager;Finance;San Francisco;Part-time;Lead;Remote;93840.51;EUR;1,1
Amazon;Software Engineer;Retail;Seattle;Part-time;Lead;Hybrid;53188.78;EUR;9,5
IBM;Data Analyst;Healthcare;New York;Full-time;Lead;Hybrid;101098.05;INR;3,3
IBM;Software Engineer;Retail;Remote;Part-time;Entry;Hybrid;175685.54;GBP;12,9
